Classics (CLASSIC),CLASSIC 10B,Introduction to Roman Civilization,4
Classics (CLASSIC),CLASSIC 17A,Introduction to the Archaeology of the Greek World,4
Classics (CLASSIC),CLASSIC 17B,Introduction to the Archaeology of the Late Greek and Roman World,4
Classics (CLASSIC),CLASSIC 24,Freshman Seminars,1
Classics (CLASSIC),CLASSIC 28,The Classic Myths,4
Classics (CLASSIC),CLASSIC N28,The Classic Myths,4
Classics (CLASSIC),CLASSIC S28X,The Classic Myths,4
Classics (CLASSIC),CLASSIC 29,Introduction to Greco-Roman Magic,3
Classics (CLASSIC),CLASSIC 34,Epic Poetry: Homer and Vergil,4
Classics (CLASSIC),CLASSIC 35,Greek Tragedy,4
Classics (CLASSIC),CLASSIC 36,Greek Philosophy,4
Classics (CLASSIC),CLASSIC 39H,Freshman/Sophomore Seminar,4
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 40,Introduction to Chemical Engineering Design,2
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 84,Sophomore Seminar,1 or 2
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 90,Science and Engineering of Sustainable Energy,3
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 98,Directed Group Studies for Lower Division Undergraduates,1 - 3
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 140,Introduction to Chemical Process Analysis,4
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 141,Chemical Engineering Thermodynamics,4
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 142,Chemical Kinetics and Reaction Engineering,4
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 150A,Transport Processes,4
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 150B,Transport and Separation Processes,4
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 154,Chemical Engineering Laboratory,4
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 160,Chemical Process Design,4
Biophysics (BIOPHY),BIOPHY H196,Honors Research in Biophysics,4
Biophysics (BIOPHY),BIOPHY 292,Research,3 - 12
Biophysics (BIOPHY),BIOPHY 293A,Research Seminar: Faculty Evening Research Presentations (FERPS) and Student Evening Research Presentations (SERPS),2
Biophysics (BIOPHY),BIOPHY 293B,Research Seminar: Faculty Evening Research Presentations (FERPS) and Student Evening Research Presentations (SERPS),2
Chicano Studies (CHICANO),CHICANO 165,Cuba&#44; the United States and Cuban Americans,4
Chicano Studies (CHICANO),CHICANO 172,Chicanos and the Educational System,4
Chicano Studies (CHICANO),CHICANO 174,Chicanos&#44; Law&#44; and Criminal Justice,4
Chicano Studies (CHICANO),CHICANO 176,Chicanos and Health Care,3
Chicano Studies (CHICANO),CHICANO 180,Topics in Chicano Studies,1 - 4
Chicano Studies (CHICANO),CHICANO 180AC,Topics in Chicano Studies,3
Chicano Studies (CHICANO),CHICANO 180M,Topics in Chicano Studies,4
Chicano Studies (CHICANO),CHICANO 195,Senior Thesis,4
Chicano Studies (CHICANO),CHICANO H195A,Senior Honors Thesis for Chicano Studies Majors,3
Chicano Studies (CHICANO),CHICANO H195B,Senior Honors Thesis for Chicano Studies Majors,3
Chicano Studies (CHICANO),CHICANO 197,Field Work in Chicano Studies,1 - 3
Classics (CLASSIC),CLASSIC 39I,Freshman/Sophomore Seminar,4
Classics (CLASSIC),CLASSIC 39J,Freshman/Sophomore Seminar,4
Classics (CLASSIC),CLASSIC R44,Roots of Western Civilization,5
Classics (CLASSIC),CLASSIC 98,Directed Group Study for Freshmen and Sophomores,1 - 4
Classics (CLASSIC),CLASSIC 99,Supervised Independent Study and Research,1 - 4
Classics (CLASSIC),CLASSIC 110,Ancient Metrics,2
Classics (CLASSIC),CLASSIC 121,Ancient Religion,4
Classics (CLASSIC),CLASSIC 124,Classical Poetics,4
Classics (CLASSIC),CLASSIC 130,Topics in Ancient Greek and Roman Culture,4
Classics (CLASSIC),CLASSIC 161,Gender&#44; Sexuality&#44; and Culture in the Ancient World,4
Classics (CLASSIC),CLASSIC 163,Topics in Greek Philosophy,4
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 162,Dynamics and Control of Chemical Processes,4
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 170A,Biochemical Engineering,3
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 170B,Biochemical Engineering,3
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG C170L,Biochemical Engineering Laboratory,3
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 171,Transport Phenomena,3
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 176,Principles of Electrochemical Processes,3
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG C178,Polymer Science and Technology,3
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 179,Process Technology of Solid-State Materials Devices,3
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 180,Chemical Engineering Economics,3
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 185,Technical Communication for Chemical Engineers,3
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG H194,Research for Advanced Undergraduates,2 - 4
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 195,Special Topics,2 - 4
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG C195A,The Berkeley Lectures on Energy: Energy from Biomass,3
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 196,Special Laboratory Study,2 - 4
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 197,Field Study in Chemical Engineering,1 - 4
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 198,Directed Group Study for Undergraduates,1 - 3
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 199,Supervised Independent Study and Research,1 - 4
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 230,Mathematical Methods in Chemical Engineering,3
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 240,Thermodynamics for Chemical Product and Process Design,3
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 244,Kinetics and Reaction Engineering,3
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 245,Catalysis,3
City and Regional Planning (CY PLAN),CY PLAN 97,Field Studies in City and Regional Planning,1 - 3
Chinese (CHINESE),CHINESE 1,Intensive Elementary Chinese,10
Chicano Studies (CHICANO),CHICANO 198,Directed Group Study,1 - 3
Chicano Studies (CHICANO),CHICANO 199,Supervised Independent Study and Research,1 - 4
Classics (CLASSIC),CLASSIC 170A,Classical Archaeology: Greek Vase Painting,4
Classics (CLASSIC),CLASSIC 170C,Classical Archaeology: Greek Architecture,4
Classics (CLASSIC),CLASSIC 170D,Classical Archaeology: Roman Art and Architecture,4
Classics (CLASSIC),CLASSIC 172,Art and Archaeology of the Aegean Bronze Age,4
Classics (CLASSIC),CLASSIC N172A,Archaeological Field School in Nemea&#44; Greece,4
Classics (CLASSIC),CLASSIC N172B,Archaeological Field School in Mycenae&#44; Greece,4
Classics (CLASSIC),CLASSIC 175A,Topography and Monuments: Athens,4
Classics (CLASSIC),CLASSIC 175D,Topography and Monuments: Pompeii and Herculaneum,4
Classics (CLASSIC),CLASSIC 175F,Topography and Monuments: Roman Wall Painting,4
Classics (CLASSIC),CLASSIC 175G,Topography and Monuments: Ptolemaic and Roman Egypt,4
Classics (CLASSIC),CLASSIC H195A,Honors Course in Classics,2 - 4
Classics (CLASSIC),CLASSIC H195B,Honors Course in Classics,4
Classics (CLASSIC),CLASSIC 198,Directed Group Study for Advanced Undergraduates,1 - 4
Classics (CLASSIC),CLASSIC 199,Supervised Independent Study and Research,1 - 4
Classics (CLASSIC),CLASSIC 200,Proseminar,4
Classics (CLASSIC),CLASSIC 201A,Survey of Greek Literature,4
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 246,Principles of Electrochemical Engineering,3
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 248,Applied Surface and Colloid Chemistry,3
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 250,Transport Processes,3
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 256,Advanced Transport Phenomena,3
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG C268,Physicochemical Hydrodynamics,3
City and Regional Planning (CY PLAN),CY PLAN 98,Special Group Study,1 - 3
City and Regional Planning (CY PLAN),CY PLAN 110,Introduction to City Planning,4
City and Regional Planning (CY PLAN),CY PLAN 111,Introduction to Housing:  An International Survey,3
City and Regional Planning (CY PLAN),CY PLAN 113A,Economic Analysis for Planning,3
City and Regional Planning (CY PLAN),CY PLAN 113B,Community and Economic Development,3
City and Regional Planning (CY PLAN),CY PLAN 114,Introduction to Urban and Regional Transportation,3
City and Regional Planning (CY PLAN),CY PLAN 115,Urbanization in Developing Countries,4
City and Regional Planning (CY PLAN),CY PLAN N115,Urbanization in Developing Countries,3
City and Regional Planning (CY PLAN),CY PLAN 116,Urban Planning Process--The Undergraduate Planning Studio,4
City and Regional Planning (CY PLAN),CY PLAN 118AC,The Urban Community,4
City and Regional Planning (CY PLAN),CY PLAN 119,Planning for Sustainability,3
City and Regional Planning (CY PLAN),CY PLAN 120,Community Planning and Public Policy for Disability,3
City and Regional Planning (CY PLAN),CY PLAN C139,Urban and Sub-national Politics in Developing Countries,4
Chinese (CHINESE),CHINESE 1A,Elementary Chinese,5
Chinese (CHINESE),CHINESE 1B,Elementary Chinese,5
Chinese (CHINESE),CHINESE 1X,Elementary Chinese for Mandarin Speakers,4
Chinese (CHINESE),CHINESE 1Y,Elementary Chinese for Dialect Speakers,5
Chinese (CHINESE),CHINESE 7A,Introduction to Premodern Chinese Literature and Culture,4
Chinese (CHINESE),CHINESE 7B,Introduction to Modern Chinese Literature and Culture,4
Chinese (CHINESE),CHINESE 10,Intensive Intermediate Chinese,10
Chinese (CHINESE),CHINESE 10A,Intermediate Chinese,5
Chinese (CHINESE),CHINESE 10B,Intermediate Chinese,5
Chinese (CHINESE),CHINESE 10X,Intermediate Chinese for Mandarin Speakers,4
Biology (BIOLOGY),BIOLOGY 1A,General Biology Lecture,3
Biology (BIOLOGY),BIOLOGY 1AL,General Biology Laboratory,2
Biology (BIOLOGY),BIOLOGY 1B,General Biology,4
Bibliography (BIBLIOG),BIBLIOG 1,Information Resource: Effectively Utilizing the Berkeley Campus libraries and Beyond,1
Classics (CLASSIC),CLASSIC 201B,Survey of Greek Literature,4
Classics (CLASSIC),CLASSIC 202A,Survey of Latin Literature,4
Classics (CLASSIC),CLASSIC 202B,Survey of Latin Literature,4
Classics (CLASSIC),CLASSIC 203,Approaches to Classical Literature,4
Classics (CLASSIC),CLASSIC C204,Proseminar in Classical Archaeology and Ancient Art,2 or 4
Classics (CLASSIC),CLASSIC 211,Archaic Greek Poetry,2 or 4
Classics (CLASSIC),CLASSIC 213,Hellenistic Poetry,2 or 4
Classics (CLASSIC),CLASSIC 214,Greek Drama,2 or 4
Classics (CLASSIC),CLASSIC 218,Greek Philosophers,2 or 4
Classics (CLASSIC),CLASSIC 219,Ancient Novel,2 or 4
Classics (CLASSIC),CLASSIC 220A,Greek and Latin Epigraphy,2 or 4
Classics (CLASSIC),CLASSIC 224,Classical Poetics and Rhetoric,2 or 4
Classics (CLASSIC),CLASSIC 225,Papyrology,2 or 4
Classics (CLASSIC),CLASSIC 226,Myth and Literature,2 or 4
Classics (CLASSIC),CLASSIC 228,Ancient Society and Law,2 or 4
Classics (CLASSIC),CLASSIC 230,Latin Poetry of the Republic and Early Empire,2 or 4
Classics (CLASSIC),CLASSIC 239,Topics in Greek or Roman Literature&#44; History&#44; and Culture,2 or 4
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG C270,Protein Engineering,3
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 274,Biomolecular Engineering,3
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 295B,Special Topics in Chemical Engineering: Electrochemical&#44; Hydrodynamic&#44; and Interfacial Phenomena,2
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG C295A,The Berkeley Lectures on Energy: Energy from Biomass,3
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG C295R,Applied Spectroscopy,3
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG C295Z,Energy Solutions: Carbon Capture and Sequestration,3
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 295K,Design of Functional Interfaces,3
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 295N,Polymer Physics,3
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 295P,Special Topics in Chemical Engineering: Introduction to New Product Development,3
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 295Q,Special Topics in Chemical Engineering: Advanced Topics in New Product Development,3
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 296,Special Study for Graduate Students in Chemical Engineering,1 - 6
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 298,Seminar in Chemical Engineering,1
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 299,Research in Chemical Engineering,1 - 12
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 300,Professional Preparation: Supervised Teaching of Chemical Engineering,2
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 375,Professional Preparation: Supervised Teaching of Chemical Engineering,2
City and Regional Planning (CY PLAN),CY PLAN 140,Urban Design: City-Building and Place-Making,3
City and Regional Planning (CY PLAN),CY PLAN 180,Research Seminar in Urban Studies,3
City and Regional Planning (CY PLAN),CY PLAN 190,Advanced Topics in Urban Studies,1 - 4
City and Regional Planning (CY PLAN),CY PLAN 197,Field Studies,1 - 3
City and Regional Planning (CY PLAN),CY PLAN 198,Special Group Study,1 - 3
City and Regional Planning (CY PLAN),CY PLAN 199,Special Study for Advanced Undergraduates,1 - 4
City and Regional Planning (CY PLAN),CY PLAN 200,History of City Planning,3
City and Regional Planning (CY PLAN),CY PLAN 201A,Planning Methods Gateway: Part I,4
City and Regional Planning (CY PLAN),CY PLAN 201B,Planning Methods Gateway: Part II,4
City and Regional Planning (CY PLAN),CY PLAN 202,Practice Gateway: Introduction to Planning Practice,3
City and Regional Planning (CY PLAN),CY PLAN 204A,Analytic and Research Methods for Planners: Methods of Planning Data Analysis,2 or 4
City and Regional Planning (CY PLAN),CY PLAN 204B,Analytic and Research Methods for Planners: Research Methods for Planners,2 or 4
City and Regional Planning (CY PLAN),CY PLAN 204C,Analytic and Research Methods for Planners: Introduction to GIS and City Planning,4
City and Regional Planning (CY PLAN),CY PLAN 204D,Analytic and Research Methods for Planners: Multivariate Analysis in Planning,4
City and Regional Planning (CY PLAN),CY PLAN 205,Introduction to Planning and Environmental Law,3
Chinese (CHINESE),CHINESE 10Y,Intermediate Chinese for Dialect Speakers,5
Chinese (CHINESE),CHINESE 98,Directed Group Study for Lower Division Students,1 - 4
Chinese (CHINESE),CHINESE 99,Independent Study for Lower Division Students,1 - 4
Chinese (CHINESE),CHINESE 100A,Advanced Chinese,5
Chinese (CHINESE),CHINESE 100B,Advanced Chinese,5
Chinese (CHINESE),CHINESE 100XA,Advanced Chinese for Heritage Learners,4
Chinese (CHINESE),CHINESE 100XB,Advanced Chinese for Heritage Learners,4
Chinese (CHINESE),CHINESE 101,Fourth-Year Chinese Readings: Literature,4
Chinese (CHINESE),CHINESE 102,Fourth-Year Chinese Readings: Social Sciences and History,4
Bengali (BANGLA),BANGLA 1A,Introductory Bengali,5
Chemistry (CHEM),CHEM 1A,General Chemistry,3
Classics (CLASSIC),CLASSIC 250,Advanced Greek Composition,4
Classics (CLASSIC),CLASSIC 260,Advanced Latin Composition,4
Classics (CLASSIC),CLASSIC 270,Seminar in Classical Archaeology,2 or 4
Classics (CLASSIC),CLASSIC 298,Special Study,2 - 12
Classics (CLASSIC),CLASSIC 299,Special Study,1 - 4
Classics (CLASSIC),CLASSIC 302,Teaching Practicum,3 - 6
Classics (CLASSIC),CLASSIC 375,Teaching of Classics: Methods and Problems,3
Classics (CLASSIC),CLASSIC 601,Individual Study for Master's Candidates,1 - 12
Classics (CLASSIC),CLASSIC 602,Individual Study for Doctoral Candidates,1 - 12
Chemical & Biomolecular Engineering (CHM ENG),CHM ENG 602,Individual Studies for Graduate Students,1 - 8
City and Regional Planning (CY PLAN),CY PLAN 207,Land and Housing Market Economics,3
City and Regional Planning (CY PLAN),CY PLAN 208,Plan Preparation Studio,5
City and Regional Planning (CY PLAN),CY PLAN C213,Transportation and Land Use Planning,3
City and Regional Planning (CY PLAN),CY PLAN C217,Transportation Policy and Planning,3
City and Regional Planning (CY PLAN),CY PLAN 218,Transportation Planning Studio,4
City and Regional Planning (CY PLAN),CY PLAN 219,Comparative International Topics in Transportation,3
City and Regional Planning (CY PLAN),CY PLAN 220,The Urban and Regional Economy,3
City and Regional Planning (CY PLAN),CY PLAN 223,Economic Development Planning,3
City and Regional Planning (CY PLAN),CY PLAN 225,Workshop in Regional Analysis,3 or 4
Chinese (CHINESE),CHINESE 105,Business Chinese,6
Chinese (CHINESE),CHINESE 110,Introduction to Literary Chinese,8
Chinese (CHINESE),CHINESE 110A,Introduction to Literary Chinese,4
Bengali (BANGLA),BANGLA 1B,Introductory Bengali,5
Bengali (BANGLA),BANGLA 101A,Intermediate Bengali,5
Bengali (BANGLA),BANGLA 101B,Intermediate Bengali,5
Chemistry (CHEM),CHEM 1AL,General Chemistry Laboratory,1
Chemistry (CHEM),CHEM 1B,General Chemistry,4
Chemistry (CHEM),CHEM W1A,General Chemistry,3
Chemistry (CHEM),CHEM 3A,Chemical Structure and Reactivity,3
Chemistry (CHEM),CHEM 3AL,Organic Chemistry Laboratory,2
Chemistry (CHEM),CHEM 3B,Chemical Structure and Reactivity,3
Chemistry (CHEM),CHEM 3BL,Organic Chemistry Laboratory,2
Chemistry (CHEM),CHEM N3AL,Organic Chemistry Laboratory,2
Chemistry (CHEM),CHEM 4A,General Chemistry and Quantitative Analysis,4
Chemistry (CHEM),CHEM 4B,General Chemistry and Quantitative Analysis,4
Chemistry (CHEM),CHEM 15,Analytical and Bioanalytical Chemistry,3
Chemistry (CHEM),CHEM 24,Freshman Seminar,1
Chemistry (CHEM),CHEM 49,Supplementary Work in Lower Division Chemistry,1 - 4
City and Regional Planning (CY PLAN),CY PLAN 228,Research Workshop on Metropolitan Regional Planning,4
City and Regional Planning (CY PLAN),CY PLAN 230,U.S. Housing&#44; Planning&#44; and Policy,3
Chinese (CHINESE),CHINESE 110B,Introduction to Literary Chinese,4
Chinese (CHINESE),CHINESE 111,Fifth-Year Chinese A,4
Chinese (CHINESE),CHINESE 112,Fifth-Year Chinese B,4
Chinese (CHINESE),CHINESE C116,Buddhism in China,4
Chinese (CHINESE),CHINESE 120,Ancient Chinese Prose,4
Chinese (CHINESE),CHINESE 122,Ancient Chinese Poetry,4
Chinese (CHINESE),CHINESE 130,Topics in Daoism,4
Chemistry (CHEM),CHEM 96,Introduction to Research and Study in the College of Chemistry,1
Chemistry (CHEM),CHEM 98,Supervised Group Study,1 - 4
Chemistry (CHEM),CHEM 98W,Directed Group Study,1
Chemistry (CHEM),CHEM 100,Communicating Chemistry,2
Chemistry (CHEM),CHEM 103,Inorganic Chemistry in Living Systems,3
Chemistry (CHEM),CHEM 104A,Advanced Inorganic Chemistry,3
Chemistry (CHEM),CHEM 104B,Advanced Inorganic Chemistry,3
Chemistry (CHEM),CHEM 105,Instrumental Methods in Analytical Chemistry,4
Chemistry (CHEM),CHEM 108,Inorganic Synthesis and Reactions,4
Chemistry (CHEM),CHEM C110L,General Biochemistry and Molecular Biology Laboratory,4
Chemistry (CHEM),CHEM 112A,Organic Chemistry,5
Visual Studies (VIS STD),VIS STD 180A,Introduction to Visual Studies: Word and Image,4
Yiddish (YIDDISH),YIDDISH 101,Elementary Yiddish,5
Yiddish (YIDDISH),YIDDISH 102,Intermediate Yiddish,5
Yiddish (YIDDISH),YIDDISH 103,Readings in Yiddish,3
City and Regional Planning (CY PLAN),CY PLAN 231,Housing in Developing Countries,3
City and Regional Planning (CY PLAN),CY PLAN 238,Development--Design Studio,4
City and Regional Planning (CY PLAN),CY PLAN C240,Theories of Urban Form and Design,3
City and Regional Planning (CY PLAN),CY PLAN C241,Research Methods in Environmental Design,4
City and Regional Planning (CY PLAN),CY PLAN 248,Advanced Studio: Urban Design/Environmental Planning,5
City and Regional Planning (CY PLAN),CY PLAN 249,Urban Design in Planning,3
City and Regional Planning (CY PLAN),CY PLAN C251,Environmental Planning and Regulation,3
City and Regional Planning (CY PLAN),CY PLAN 252,Land Use Controls,3
City and Regional Planning (CY PLAN),CY PLAN 254,Sustainable Communities,3
Chinese (CHINESE),CHINESE 134,Readings in Classical Chinese Poetry,4
Chinese (CHINESE),CHINESE 136,Readings in Medieval Prose,4
Chinese (CHINESE),CHINESE C140,Readings in Chinese Buddhist Texts,4
Chinese (CHINESE),CHINESE 153,Reading Taiwan,4
Chinese (CHINESE),CHINESE 155,Readings in Vernacular Chinese Literature,4
Chinese (CHINESE),CHINESE 156,Modern Chinese Literature,4
Chinese (CHINESE),CHINESE 157,Contemporary Chinese Literature,4
Chemistry (CHEM),CHEM 112B,Organic Chemistry,5
Chemistry (CHEM),CHEM 113,Advanced Mechanistic Organic Chemistry,3
